escala,versao,threads,schedule,chunk,arquivos,bytes,repeticao,tempo_s
forte,openmp,1,dynamic,16,1024,105775104,8,0.211874
forte,openmp,1,dynamic,16,1024,105775104,9,0.219189
forte,openmp,1,dynamic,16,1024,105775104,10,0.212008
forte,openmp,1,dynamic,16,1024,105775104,11,0.212210
forte,openmp,1,dynamic,16,1024,105775104,12,0.217480
forte,openmp,1,dynamic,16,1024,105775104,13,0.219129
forte,openmp,1,dynamic,16,1024,105775104,14,0.216591
forte,openmp,1,dynamic,16,1024,105775104,15,0.209064
forte,openmp,1,guided,1,1024,105775104,1,0.210805
forte,openmp,1,guided,1,1024,105775104,2,0.216728
forte,openmp,1,guided,1,1024,105775104,3,0.218427
forte,openmp,1,guided,1,1024,105775104,4,0.218860
forte,openmp,1,guided,1,1024,105775104,5,0.218849
forte,openmp,1,guided,1,1024,105775104,6,0.219522
forte,openmp,1,guided,1,1024,105775104,7,0.222170
forte,openmp,1,guided,1,1024,105775104,8,0.220351
forte,openmp,1,guided,1,1024,105775104,9,0.217475
forte,openmp,1,guided,1,1024,105775104,10,0.221882
forte,openmp,1,guided,1,1024,105775104,11,0.229202
forte,openmp,1,guided,1,1024,105775104,12,0.217692
forte,openmp,1,guided,1,1024,105775104,13,0.218179
forte,openmp,1,guided,1,1024,105775104,14,0.218985
forte,openmp,1,guided,1,1024,105775104,15,0.212198
forte,openmp,1,guided,4,1024,105775104,1,0.215985
forte,openmp,1,guided,4,1024,105775104,2,0.214911
forte,openmp,1,guided,4,1024,105775104,3,0.216347
forte,openmp,1,guided,4,1024,105775104,4,0.218314
forte,openmp,1,guided,4,1024,105775104,5,0.216628
forte,openmp,1,guided,4,1024,105775104,6,0.216922
forte,openmp,1,guided,4,1024,105775104,7,0.219766
forte,openmp,1,guided,4,1024,105775104,8,0.218190
forte,openmp,1,guided,4,1024,105775104,9,0.221066
forte,openmp,1,guided,4,1024,105775104,10,0.219695
forte,openmp,1,guided,4,1024,105775104,11,0.217964
forte,openmp,1,guided,4,1024,105775104,12,0.221457
forte,openmp,1,guided,4,1024,105775104,13,0.214035
forte,openmp,1,guided,4,1024,105775104,14,0.219096
forte,openmp,1,guided,4,1024,105775104,15,0.218147
forte,openmp,1,guided,16,1024,105775104,1,0.219387
forte,openmp,1,guided,16,1024,105775104,2,0.219668
forte,openmp,1,guided,16,1024,105775104,3,0.207373
forte,openmp,1,guided,16,1024,105775104,4,0.222632
forte,openmp,1,guided,16,1024,105775104,5,0.210789
forte,openmp,1,guided,16,1024,105775104,6,0.211609
forte,openmp,1,guided,16,1024,105775104,7,0.211550
forte,openmp,1,guided,16,1024,105775104,8,0.215341
forte,openmp,1,guided,16,1024,105775104,9,0.210105
forte,openmp,1,guided,16,1024,105775104,10,0.221458
forte,openmp,1,guided,16,1024,105775104,11,0.215988
forte,openmp,1,guided,16,1024,105775104,12,0.212058
forte,openmp,1,guided,16,1024,105775104,13,0.219204
forte,openmp,1,guided,16,1024,105775104,14,0.224569
forte,openmp,1,guided,16,1024,105775104,15,0.221041
forte,openmp,2,static,1,1024,105775104,1,0.107295
forte,openmp,2,static,1,1024,105775104,2,0.127736
forte,openmp,2,static,1,1024,105775104,3,0.125518
forte,openmp,2,static,1,1024,105775104,4,0.129003
forte,openmp,2,static,1,1024,105775104,5,0.127942
forte,openmp,2,static,1,1024,105775104,6,0.107789
forte,openmp,2,static,1,1024,105775104,7,0.104867
forte,openmp,2,static,1,1024,105775104,8,0.106803
forte,openmp,2,static,1,1024,105775104,9,0.106004
forte,openmp,2,static,1,1024,105775104,10,0.107686
forte,openmp,2,static,1,1024,105775104,11,0.105212
forte,openmp,2,static,1,1024,105775104,12,0.105446
forte,openmp,2,static,1,1024,105775104,13,0.098467
forte,openmp,2,static,1,1024,105775104,14,0.098626
forte,openmp,2,static,1,1024,105775104,15,0.107771
forte,openmp,2,static,4,1024,105775104,1,0.115610
forte,openmp,2,static,4,1024,105775104,2,0.116170
forte,openmp,2,static,4,1024,105775104,3,0.107122
forte,openmp,2,static,4,1024,105775104,4,0.108464
forte,openmp,2,static,4,1024,105775104,5,0.113395
forte,openmp,2,static,4,1024,105775104,6,0.106076
forte,openmp,2,static,4,1024,105775104,7,0.115133
forte,openmp,2,static,4,1024,105775104,8,0.106014
forte,openmp,2,static,4,1024,105775104,9,0.106344
forte,openmp,2,static,4,1024,105775104,10,0.120886
forte,openmp,2,static,4,1024,105775104,11,0.125272
forte,openmp,2,static,4,1024,105775104,12,0.125562
forte,openmp,2,static,4,1024,105775104,13,0.122629
forte,openmp,2,static,4,1024,105775104,14,0.124166
forte,openmp,2,static,4,1024,105775104,15,0.125545
forte,openmp,2,static,16,1024,105775104,1,0.128773
forte,openmp,2,static,16,1024,105775104,2,0.126959
forte,openmp,2,static,16,1024,105775104,3,0.124276
forte,openmp,2,static,16,1024,105775104,4,0.124651
forte,openmp,2,static,16,1024,105775104,5,0.127002
forte,openmp,2,static,16,1024,105775104,6,0.127895
forte,openmp,2,static,16,1024,105775104,7,0.126933
forte,openmp,2,static,16,1024,105775104,8,0.126072
forte,openmp,2,static,16,1024,105775104,9,0.126924
forte,openmp,2,static,16,1024,105775104,10,0.127275
forte,openmp,2,static,16,1024,105775104,11,0.128975
forte,openmp,2,static,16,1024,105775104,12,0.126312
forte,openmp,2,static,16,1024,105775104,13,0.123661
forte,openmp,2,static,16,1024,105775104,14,0.123982
forte,openmp,2,static,16,1024,105775104,15,0.124470
forte,openmp,2,dynamic,1,1024,105775104,1,0.120385
forte,openmp,2,dynamic,1,1024,105775104,2,0.123606
forte,openmp,2,dynamic,1,1024,105775104,3,0.122801
forte,openmp,2,dynamic,1,1024,105775104,4,0.122103
forte,openmp,2,dynamic,1,1024,105775104,5,0.125699
forte,openmp,2,dynamic,1,1024,105775104,6,0.125432
forte,openmp,2,dynamic,1,1024,105775104,7,0.103553
forte,openmp,2,dynamic,1,1024,105775104,8,0.102048
forte,openmp,2,dynamic,1,1024,105775104,9,0.102925
forte,openmp,2,dynamic,1,1024,105775104,10,0.102209
forte,openmp,2,dynamic,1,1024,105775104,11,0.103324
forte,openmp,2,dynamic,1,1024,105775104,12,0.103723
forte,openmp,2,dynamic,1,1024,105775104,13,0.103522
forte,openmp,2,dynamic,1,1024,105775104,14,0.104511
forte,openmp,2,dynamic,1,1024,105775104,15,0.102487
forte,openmp,2,dynamic,4,1024,105775104,1,0.100930
forte,openmp,2,dynamic,4,1024,105775104,2,0.102366
forte,openmp,2,dynamic,4,1024,105775104,3,0.101744
forte,openmp,2,dynamic,4,1024,105775104,4,0.106106
forte,openmp,2,dynamic,4,1024,105775104,5,0.103135
forte,openmp,2,dynamic,4,1024,105775104,6,0.105279
forte,openmp,2,dynamic,4,1024,105775104,7,0.105448
forte,openmp,2,dynamic,4,1024,105775104,8,0.109206
forte,openmp,2,dynamic,4,1024,105775104,9,0.105773
forte,openmp,2,dynamic,4,1024,105775104,10,0.106299
forte,openmp,2,dynamic,4,1024,105775104,11,0.106377
forte,openmp,2,dynamic,4,1024,105775104,12,0.103817
forte,openmp,2,dynamic,4,1024,105775104,13,0.108527
forte,openmp,2,dynamic,4,1024,105775104,14,0.113903
forte,openmp,2,dynamic,4,1024,105775104,15,0.136141
forte,openmp,2,dynamic,16,1024,105775104,1,0.145475
forte,openmp,2,dynamic,16,1024,105775104,2,0.132057
forte,openmp,2,dynamic,16,1024,105775104,3,0.139883
